,Title,Author,Average Rating,#Pages,Ratings Count,Publication Date,Language Code,Average Ranking,Log Reg Predicted Rating,Log Reg Ranking,Lin Reg Predicted Rating,Lin Reg Ranking,KNN Reg Predicted Rating,KNN Reg Ranking,KNN Class Predicted Rating,KNN Class Ranking
52,Rising from the Plains,John McPhee,4.23,208,1341,11/1/1987,eng,12.5,5,23.0,5.508363052970656,18.0,5.0,1.0,5,8.0
48,Annals of the Former World,John McPhee,4.34,720,3115,1/6/1999,eng,28.75,5,21.0,5.022490594014613,43.0,4.6,44.0,5,7.0
164,Lincoln at Gettysburg: The Words That Remade America,Garry Wills,4.14,317,120,6/12/1993,en-US,35.0,5,51.0,5.934026665872174,8.0,4.6,52.0,5,29.0
167,Libra,Don DeLillo,3.99,480,11857,5/1/1991,eng,37.5,5,53.0,4.982260481402536,44.0,4.8,22.0,5,31.0
97,Tolstoy: Anna Karenina,Anthony Thorlby,4.19,128,1204,11/26/1987,eng,38.0,5,36.0,4.920094047341208,49.0,4.6,48.0,5,19.0
3,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,4.56,435,2339585,5/1/2004,eng,38.5,5,3.0,4.858107416847306,55.0,4.2,95.0,5,1.0
11,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,815,2877,1/17/1996,eng,38.75,5,7.0,4.699863807361431,67.0,4.4,79.0,5,2.0
131,The War,Marguerite Duras/Barbara Bray,3.85,192,963,8/1/1994,eng,39.25,5,45.0,4.7101242820792955,65.0,4.8,21.0,5,26.0
91,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,4.05,837,2904,1/30/2003,eng,39.25,5,34.0,4.7832108714443935,59.0,4.6,47.0,5,17.0
228,Once Upon a Cool Motorcycle Dude,Kevin O'Malley/Carol Heyer/Scott Goto,4.08,32,1773,4/1/2005,eng,39.5,5,81.0,5.438294606440496,20.0,5.0,4.0,5,53.0
39,The Known World,Edward P. Jones,3.83,388,29686,8/29/2006,eng,41.0,5,18.0,4.154892255566889,121.0,4.8,19.0,5,6.0
19,Notes from a Small Island,Bill Bryson,3.91,324,80609,5/28/1997,eng,42.75,5,9.0,4.78162096038378,60.0,4.2,98.0,5,4.0
196,Moon Palace,Paul Auster,3.94,320,16099,4/1/1990,eng,44.0,5,64.0,4.630629357264418,73.0,5.0,2.0,5,37.0
105,"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello/Patty Carratello/Theresa Wright,4.0,48,17,9/28/1991,eng,44.0,5,38.0,4.66983971941946,69.0,4.6,49.0,5,20.0
70,The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson,3.8800000000000003,426,4789,8/29/2006,eng,44.5,5,31.0,4.189024437791359,114.0,4.8,20.0,5,13.0
209,Wizard: The Life and Times of Nikola Tesla: Biography of a Genius,Marc J.  Seifer/William H. Terbo,3.78,542,2829,2/1/2001,eng,45.0,5,70.0,5.653738325010546,14.0,4.6,55.0,5,41.0
232,The Death of Ivan Ilych And Other Stories,Leo Tolstoy/Hugh McLean,4.11,304,7300,4/1/2003,eng,45.75,5,85.0,5.135200774314069,37.0,5.0,5.0,5,56.0
87,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,4.08,206,13,5/3/2005,eng,46.0,5,33.0,5.722411873986049,10.0,4.0,125.0,5,16.0
62,What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,3.89,832,11797,10/16/2003,eng,46.25,5,28.0,4.291065572867202,100.0,4.6,46.0,5,11.0
245,Sailing Alone Around the Room: New and Selected Poems,Billy Collins,4.23,192,12180,9/17/2002,eng,46.5,5,94.0,5.5185620792494285,17.0,5.0,8.0,5,67.0
242,Letters of Ayn Rand,Ayn Rand/Michael S. Berliner/Leonard Peikoff,3.9599999999999995,681,18,2/1/1997,eng,46.75,5,92.0,5.334248295237298,24.0,5.0,7.0,5,64.0
78,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,3.48,336,76,5/3/2005,eng,49.0,5,32.0,4.922077470909192,48.0,4.2,102.0,5,14.0
276,Snow Crash,Neal Stephenson/Guy Abadia,4.03,438,188100,8/2/2000,eng,49.0,5,105.0,5.941143155276191,6.0,5.0,10.0,5,75.0
