Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
31172358,Introduction L'Histoire de Notre Temps. Le Xxe Si'cle de 1914 Nos Jours T3,Ren' R'Mond,"R'Mond, Ren'",,"=""275784007X""","=""9782757840078""",3,2.89,Contemporary French Fiction,Paperback,,2014,,,2020/01/06,,,read,,,,1,,,0,,,,,
17377501,Formations of European Modernity: A Historical and Political Sociology of Europe,Gerard Delanty,"Delanty, Gerard",,"=""113728790X""","=""9781137287908""",2,2.68,Palgrave Macmillan,Hardcover,352,2013,2013,,2020/01/06,,,read,,,,1,,,0,,,,,
4096948,Jehan de Loin,Bertrand Solet,"Solet, Bertrand",,"=""201321880X""","=""9782013218801""",3,3.08,Le livre de poche jeunesse,Paperback,187,2001,2001,,2020/09/02,childhood,childhood (#71),read,,,,0,,,0,,,,,
17332697,L'Amour,Marguerite Duras,"Duras, Marguerite","Kazim Ali, Libby Murphy, Sharon Willis","=""1934824798""","=""9781934824795""",3,3.28,Open Letter Books,Paperback,112,2013,1972,,2020/01/04,,,read,,,,1,,,0,,,,,
3283513,"Wine Politics: How Governments, Environmentalists, Mobsters, and Critics Influence the Wines We Drink",Tyler Colman,"Colman, Tyler",,"=""0520255216""","=""9780520255210""",3,3.34,University of California Press,Hardcover,208,2008,2008,2020/05/01,2020/05/01,,,read,,,,1,,,0,,,,,
52618065,What Do You Think You Are?: The Science of What Makes You You,Brian Clegg,"Clegg, Brian",,"=""1785786237""","=""9781785786235""",1,3.27,Icon Books,Hardcover,288,2020,,,2021/02/24,books-started-but-not-finished,books-started-but-not-finished (#1),read,,,,0,,,0,,,,,
1695612,Roman Britain: A Very Short Introduction,Peter Salway,"Salway, Peter",,"=""0192854046""","=""9780192854049""",3,3.38,Oxford University Press,Paperback,78,2002,2000,,2020/01/06,childhood,childhood (#61),read,,,,1,,,0,,,,,
370361,Caperucita en Manhattan,Carmen Martín Gaite,"Gaite, Carmen Martín",María del Carmen Ponz Guillén,"=""""","=""""",3,3.39,Siruela/Colección Escolar de Literatura,Unknown Binding,260,2008,1990,,2020/01/06,,,read,,,,1,,,0,,,,,
2099004,Las trece rosas,Jesús Ferrero,"Ferrero, Jesús",,"=""8478446761""","=""9788478446766""",3,3.46,Siruela,Paperback,233,2004,2003,,2020/01/06,childhood,childhood (#63),read,,,,1,,,0,,,,,
44436697,"Introducing A Graphic Guide (Series 6) 8 Books Collection Set (Epigenetics,Genetics,Infinity,Relativity,Evolution, Stephen Hawking...) Books for Childrens",Various,"Various, Various",,"=""9526536509""","=""9789526536507""",3,3.33,Icon Books Ltd,Paperback,,,,,2020/01/06,childhood,childhood (#60),read,,,,1,,,0,,,,,
1302829,Paris l'instant,Philippe Delerm,"Delerm, Philippe",Martine Delerm,"=""2253072591""","=""9782253072591""",2,3.49,Livre de Poche,Mass Market Paperback,160,2004,2002,,2020/01/06,,,read,,,,1,,,0,,,,,
36114128,Manon Lescaut,Antoine François Prévost d'Exiles,"d'Exiles, Antoine François Prévost",,"=""208128586X""","=""9782081285866""",3,3.51,French and European Publications Inc,Mass Market Paperback,,2016,1731,,2020/01/06,childhood,childhood (#66),read,,,,1,,,0,,,,,
18694005,Unhappy Union: How Europe Can Resolve the Crisis It has Created,The Economist,"Economist, The","John Peet, Anton La Guardia","=""1610394496""","=""9781610394499""",3,3.50,The Economist,Hardcover,192,2014,2014,,2020/01/06,,,read,,,,1,,,0,,,,,
18310164,The Happy Atheist,P.Z. Myers,"Myers, P.Z.",,"=""0307739805""","=""9780307739803""",3,3.55,Vintage,Paperback,208,2014,2013,,2020/01/06,,,read,,,,1,,,0,,,,,
9444470,Introduction À La Géopolitique,Philippe Moreau Defarges,"Defarges, Philippe Moreau",,"=""2757815776""","=""9782757815779""",2,3.50,Éd. du Seuil,,256,2009,1994,,2020/01/06,,,read,,,,1,,,0,,,,,
18663939,Un hivernage dans les glaces,Jules Verne,"Verne, Jules",,"=""2011689600""","=""9782011689603""",3,3.59,Hachette Education,,175,2004,1855,,2020/01/04,,,read,,,,1,,,0,,,,,
2553753,Britannicus,Jean Racine,"Racine, Jean",,"=""2070315118""","=""9782070315116""",3,3.64,Gallimard Education,Paperback,,2004,1669,,2020/01/06,childhood,childhood (#58),read,,,,1,,,0,,,,,
16225505,Governance: A Very Short Introduction,Mark Bevir,"Bevir, Mark",,"=""0199606412""","=""9780199606412""",3,3.65,"Oxford University Press, USA",Paperback,132,2012,2012,,2020/01/06,,,read,,,,1,,,0,,,,,
1520896,Les Fourberies de Scapin,Molière,"Molière, Molière",,"=""203871665X""","=""9782038716658""",4,3.67,Larousse,Mass Market Paperback,191,2007,1671,,2020/01/06,,,read,,,,1,,,0,,,,,
428077,L'Avare,Molière,"Molière, Molière",,"=""2091878235""","=""9782091878232""",5,3.69,Cle Intl,Paperback,79,2003,1668,,2020/01/06,,,read,,,,1,,,0,,,,,
3079119,Julius Caesar,William Shakespeare,"Shakespeare, William","Tim Seward, Rob  Smith","=""0521706777""","=""9780521706773""",4,3.69,Cambridge University Press,Paperback,196,2008,1599,,2020/01/06,childhood,childhood (#67),read,,,,1,,,0,,,,,
907444,The Shakespeare Stealer,Gary L. Blackwood,"Blackwood, Gary L.",,"=""0862786347""","=""9780862786342""",4,3.69,O'Brien Press,Paperback,,1999,1998,,2020/01/06,childhood,childhood (#53),read,,,,1,,,0,,,,,
69716,Annie John,Jamaica Kincaid,"Kincaid, Jamaica",,"=""0099773813""","=""9780099773818""",4,3.69,Vintage,Paperback,148,1997,1985,,2020/01/06,childhood,childhood (#68),read,,,,1,,,0,,,,,
7762207,Dead Aid: Why aid is not working and how there is another way for Africa,Dambisa Moyo,"Moyo, Dambisa",,"=""0141031182""","=""9780141031187""",2,3.70,Penguin,Paperback,188,2010,2009,,2020/01/06,,,read,,,,1,,,0,,,,,
100018,Political Philosophy: A Very Short Introduction,David    Miller,"Miller, David",,"=""0192803956""","=""9780192803955""",3,3.70,Oxford University Press,Paperback,147,2003,2003,,2020/01/06,,,read,,,,1,,,0,,,,,
5886738,Kit's Wilderness,David Almond,"Almond, David",,"=""034094496X""","=""9780340944967""",3,3.70,Hodder Children's Books,Paperback,233,2008,1999,,2020/01/06,childhood,childhood (#54),read,,,,1,,,0,,,,,
139693,The Lost Art of the Great Speech: How to Write One--How to Deliver It,Richard Dowis,"Dowis, Richard",,"=""0814470548""","=""9780814470541""",4,3.71,AMACOM,Paperback,288,1999,1999,,2020/01/06,,,read,,,,1,,,0,,,,,
18179434,"Big Data: A Revolution That Will Transform How We Live, Work, and Think",Viktor Mayer-Schönberger,"Mayer-Schönberger, Viktor",Kenneth Cukier,"=""1848547927""","=""9781848547926""",3,3.71,John Murray Publishers,Paperback,242,2013,2013,,2020/01/06,,,read,,,,1,,,0,,,,,
11744637,Phèdre,Jean Racine,"Racine, Jean",,"=""2035859166""","=""9782035859167""",4,3.72,Larousse,Mass Market Paperback,176,2011,1676,,2020/01/06,childhood,childhood (#57),read,,,,1,,,0,,,,,
1690148,La ciudad de las bestias,Isabel Allende,"Allende, Isabel",,"=""8497935691""","=""9788497935692""",3,3.72,Debolsillo,Mass Market Paperback,304,2012,2002,,2020/01/06,childhood,childhood (#59),read,,,,1,,,0,,,,,
857213,Le Malade imaginaire,Molière,"Molière, Molière",,"=""2038716668""","=""9782038716665""",4,3.74,Larousse,Mass Market Paperback,255,1998,1673,,2020/01/06,,,read,,,,1,,,0,,,,,
74646,Philosophy: A Very Short Introduction,Edward Craig,"Craig, Edward",,"=""0192854216""","=""9780192854216""",3,3.75,"Oxford University Press, USA",Paperback,132,2002,2002,,2020/01/06,childhood,childhood (#62),read,,,,1,,,0,,,,,
